"Default","Es ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns f&uuml;r weitere Informationen."
"HPError-100.100.101","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-100.100.303","Die Karte ist abgelaufen"
"HPError-100.100.500","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-100.396.101","Sie haben den Zahlungsvorgang abgebrochen."
"HPError-100.396.102","Sie haben die Transaktion nicht best&auml;tigt."
"HPError-100.400.110","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.151","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.152","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.153","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-800.100.157","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-800.100.159","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.160","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.168","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.171","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.300.101","Bitte w&auml;hlen Sie eine andere Zahlart"